referrer,views_total,views_unique
Google,141,29
Bing,20,6
github.com,18,6
om.scicore.unibas.ch,12,5
code.google.com,4,3
ncbi.nlm.nih.gov,4,2
ndmconsortium.com,2,1
mts-ncomms.nature.com,2,1
swisstph.github.io,1,1
