url_path,views_total,views_unique
/OpenMalaria-Org/openmalaria/wiki,71,50
/OpenMalaria-Org/openmalaria,45,32
/OpenMalaria-Org/openmalaria/wiki/UserGuide,21,16
/OpenMalaria-Org/openmalaria/wiki/ScenarioTransmission,16,10
/OpenMalaria-Org/openmalaria/wiki/ModelInterventions,14,9
/OpenMalaria-Org/openmalaria/wiki/Monitoring,12,4
/OpenMalaria-Org/openmalaria/wiki/MonitoringOptions,10,6
/OpenMalaria-Org/openmalaria/wiki/References,10,5
/OpenMalaria-Org/openmalaria/wiki/ModelDemography,8,5
/OpenMalaria-Org/openmalaria/wiki/MonitoringOutput,7,3
