time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-12 00:00:00+00:00,4,4,32,10
2026-08-13 00:00:00+00:00,2,2,34,11
2026-08-14 00:00:00+00:00,12,8,12,7
2026-08-15 00:00:00+00:00,0,0,18,9
2026-08-16 00:00:00+00:00,214,211,7,7
2026-08-17 00:00:00+00:00,62,16,15,7
2026-08-18 00:00:00+00:00,11,8,56,14
2026-08-19 00:00:00+00:00,46,9,41,12
2026-08-20 00:00:00+00:00,13,6,24,12
2026-08-21 00:00:00+00:00,36,12,79,12
2026-08-22 00:00:00+00:00,8,3,11,10
2026-08-23 00:00:00+00:00,6,5,9,7
2026-08-24 00:00:00+00:00,3,3,39,11
2026-08-25 00:00:00+00:00,19,6,57,22
