time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-04-29 00:00:00+00:00,1.0,1.0,64,7
2024-04-30 00:00:00+00:00,1.0,1.0,94,11
2024-05-01 00:00:00+00:00,1.0,1.0,2,1
2024-05-02 00:00:00+00:00,,,46,11
2024-05-03 00:00:00+00:00,1.0,1.0,91,17
2024-05-04 00:00:00+00:00,1.0,1.0,16,3
2024-05-05 00:00:00+00:00,,,4,3
2024-05-06 00:00:00+00:00,4.0,2.0,30,11
2024-05-07 00:00:00+00:00,1.0,1.0,50,12
2024-05-08 00:00:00+00:00,4.0,3.0,40,19
2024-05-09 00:00:00+00:00,4.0,3.0,52,16
2024-05-10 00:00:00+00:00,,,14,5
2024-05-11 00:00:00+00:00,1.0,1.0,6,3
2024-05-12 00:00:00+00:00,,,7,5
