url_path,views_total,views_unique
/OpenMalaria-Org/openmalaria/wiki,91,40
/OpenMalaria-Org/openmalaria,77,42
/OpenMalaria-Org/openmalaria/pull/458,22,1
/OpenMalaria-Org/openmalaria/pulls,20,3
/OpenMalaria-Org/openmalaria/wiki/ModelInterventions,18,10
/OpenMalaria-Org/openmalaria/wiki/MonitoringOptions,18,8
/OpenMalaria-Org/openmalaria/pull/466,17,2
/OpenMalaria-Org/openmalaria/wiki/MonitoringOutput,14,6
/OpenMalaria-Org/openmalaria/pull/458/changes,14,1
/OpenMalaria-Org/openmalaria/wiki/UserGuide,11,7
