time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-10-31 00:00:00+00:00,,,11,4
2024-11-01 00:00:00+00:00,1.0,1.0,12,7
2024-11-02 00:00:00+00:00,,,7,1
2024-11-03 00:00:00+00:00,1.0,1.0,12,4
2024-11-04 00:00:00+00:00,,,53,11
2024-11-05 00:00:00+00:00,,,82,15
2024-11-06 00:00:00+00:00,,,34,6
2024-11-07 00:00:00+00:00,,,15,6
2024-11-08 00:00:00+00:00,,,42,14
2024-11-09 00:00:00+00:00,1.0,1.0,5,4
2024-11-10 00:00:00+00:00,,,9,5
2024-11-11 00:00:00+00:00,,,22,10
2024-11-12 00:00:00+00:00,,,55,11
2024-11-13 00:00:00+00:00,1.0,1.0,64,12
