url_path,views_total,views_unique
/OpenMalaria-Org/openmalaria/wiki,89,46
/OpenMalaria-Org/openmalaria,75,44
/OpenMalaria-Org/openmalaria/wiki/ModelInterventions,23,10
/OpenMalaria-Org/openmalaria/wiki/MonitoringOptions,21,10
/OpenMalaria-Org/openmalaria/wiki/MonitoringOutput,16,7
/OpenMalaria-Org/openmalaria/wiki/ScenarioTransmission,13,6
/OpenMalaria-Org/openmalaria/wiki/DrugResistanceGenotypes,12,4
/OpenMalaria-Org/openmalaria/wiki/ModelTransmission,11,5
/OpenMalaria-Org/openmalaria/issues,10,3
/OpenMalaria-Org/openmalaria/wiki/UserGuide,9,6
