time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-14 00:00:00+00:00,26.0,17.0,97,12
2025-10-15 00:00:00+00:00,8.0,8.0,14,9
2025-10-16 00:00:00+00:00,10.0,7.0,14,10
2025-10-17 00:00:00+00:00,21.0,12.0,23,9
2025-10-18 00:00:00+00:00,10.0,6.0,9,2
2025-10-19 00:00:00+00:00,3.0,3.0,19,11
2025-10-20 00:00:00+00:00,12.0,10.0,63,18
2025-10-21 00:00:00+00:00,15.0,12.0,41,17
2025-10-22 00:00:00+00:00,10.0,8.0,14,11
2025-10-23 00:00:00+00:00,8.0,6.0,71,13
2025-10-24 00:00:00+00:00,7.0,5.0,15,8
2025-10-25 00:00:00+00:00,8.0,6.0,11,6
2025-10-26 00:00:00+00:00,,,12,5
2025-10-27 00:00:00+00:00,6.0,6.0,32,10
