url_path,views_total,views_unique
/SwissTPH/openmalaria/wiki,61,35
/SwissTPH/openmalaria,43,28
/SwissTPH/openmalaria/tree/main/model,23,6
/SwissTPH/openmalaria/blob/main/model/Parameters.h,17,4
/SwissTPH/openmalaria/blob/145ce33ff55c2ca83093852a694a4a437a3bd1b9/schema/scenario_45.xsd,14,1
/SwissTPH/openmalaria/wiki/MonitoringOptions,12,7
/SwissTPH/openmalaria/wiki/References,11,3
/SwissTPH/openmalaria/tree/main/model/interventions,10,4
/SwissTPH/openmalaria/tree/main/model/Transmission,9,3
/SwissTPH/openmalaria/wiki/ModelInterventions,7,6
