referrer,views_total,views_unique
Google,196,18
Bing,28,1
github.com,24,6
ndmconsortium.com,5,5
nature.com,5,3
statics.teams.cdn.office.net,4,2
driveonlyoffice.switch.ch,2,2
researchgate.net,1,1
code.google.com,1,1
