time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-04-07 00:00:00+00:00,1.0,1.0,152,4
2024-04-08 00:00:00+00:00,,,82,15
2024-04-09 00:00:00+00:00,3.0,3.0,124,13
2024-04-10 00:00:00+00:00,1.0,1.0,79,15
2024-04-11 00:00:00+00:00,4.0,3.0,46,12
2024-04-12 00:00:00+00:00,1.0,1.0,42,9
2024-04-13 00:00:00+00:00,,,40,8
2024-04-14 00:00:00+00:00,1.0,1.0,13,4
2024-04-15 00:00:00+00:00,1.0,1.0,45,14
2024-04-16 00:00:00+00:00,39.0,21.0,280,23
2024-04-17 00:00:00+00:00,270.0,266.0,129,15
2024-04-18 00:00:00+00:00,84.0,3.0,159,18
2024-04-19 00:00:00+00:00,1.0,1.0,47,12
2024-04-20 00:00:00+00:00,,,3,3
