url_path,views_total,views_unique
/SwissTPH/openmalaria,42,34
/SwissTPH/openmalaria/wiki,34,27
/SwissTPH/openmalaria/tree/main/model,18,4
/SwissTPH/openmalaria/wiki/ModelInterventions,13,8
/SwissTPH/openmalaria/wiki/MonitoringOptions,10,6
/SwissTPH/openmalaria/wiki/UserGuide,8,6
/SwissTPH/openmalaria/wiki/ApplicationtoFieldSites,6,4
/SwissTPH/openmalaria/wiki/ScenarioDesign,6,3
/SwissTPH/openmalaria/blob/17387f121c912505d62a265675cadb6dd3505faf/test/scenarioNonHumanHosts.xml,6,1
/SwissTPH/openmalaria/tree/main/model/Host,6,1
