referrer,views_total,views_unique
github.com,104,18
Google,93,22
statics.teams.cdn.office.net,15,4
om.scicore.unibas.ch,12,6
Bing,4,3
openmalaria-org.github.io,4,1
swisstph.github.io,3,1
euc-onenote.officeapps.live.com,2,2
ntp.msn.com,1,1
search.brave.com,1,1
