referrer,views_total,views_unique
Google,56,12
github.com,48,8
code.google.com,6,2
Bing,5,4
scanmail.trustwave.com,4,1
swisstph.github.io,4,1
ndmconsortium.com,3,2
researchgate.net,2,2
paperswithcode.com,2,1
hpc.dmi.unibas.ch,2,1
