url_path,views_total,views_unique
/OpenMalaria-Org/openmalaria,242,60
/OpenMalaria-Org/openmalaria/wiki,109,52
/OpenMalaria-Org/openmalaria/wiki/UserGuide,45,27
/OpenMalaria-Org/openmalaria/wiki/ModelInterventions,38,12
/OpenMalaria-Org/openmalaria/pulls,25,5
/OpenMalaria-Org/openmalaria/wiki/MonitoringOptions,22,14
/OpenMalaria-Org/openmalaria/wiki/ModelDemography,19,8
/OpenMalaria-Org/openmalaria/wiki/ModelWithinHost,16,4
/OpenMalaria-Org/openmalaria/wiki/Monitoring,15,14
/OpenMalaria-Org/openmalaria/wiki/References,14,5
