url_path,views_total,views_unique
/OpenMalaria-Org/openmalaria,177,40
/OpenMalaria-Org/openmalaria/wiki,72,40
/OpenMalaria-Org/openmalaria/wiki/UserGuide,21,18
/OpenMalaria-Org/openmalaria/wiki/ModelInterventions,15,7
/OpenMalaria-Org/openmalaria/wiki/MonitoringOptions,13,9
/OpenMalaria-Org/openmalaria/wiki/Monitoring,9,8
/OpenMalaria-Org/openmalaria/wiki/References,9,4
/OpenMalaria-Org/openmalaria/wiki/DrugResistanceGenotypes,9,1
/OpenMalaria-Org/openmalaria/releases,6,4
/OpenMalaria-Org/openmalaria/wiki/MonitoringOutput,6,3
