url_path,views_total,views_unique
/OpenMalaria-Org/openmalaria,151,41
/OpenMalaria-Org/openmalaria/wiki,59,35
/OpenMalaria-Org/openmalaria/wiki/UserGuide,20,14
/OpenMalaria-Org/openmalaria/pulls,17,3
/OpenMalaria-Org/openmalaria/wiki/MonitoringOptions,14,9
/OpenMalaria-Org/openmalaria/wiki/ModelInterventions,10,6
/OpenMalaria-Org/openmalaria/wiki/DrugResistanceGenotypes,7,3
/OpenMalaria-Org/openmalaria/wiki/SchemaUpdateGuide,6,5
/OpenMalaria-Org/openmalaria/wiki/ScenarioTransmission,6,4
/OpenMalaria-Org/openmalaria/wiki/Monitoring,5,4
