referrer,views_total,views_unique
Google,101,30
github.com,49,13
Bing,8,2
DuckDuckGo,8,1
om.scicore.unibas.ch,5,3
nature.com,4,2
swisstph.github.io,4,1
chatgpt.com,3,2
statics.teams.cdn.office.net,2,1
ecosia.org,1,1
