referrer,views_total,views_unique
Google,132,25
github.com,29,7
Bing,19,5
om.scicore.unibas.ch,18,5
code.google.com,5,2
github-wiki-see.page,5,1
swisstph.github.io,3,2
search.brave.com,3,1
ndmconsortium.com,2,1
cn.bing.com,1,1
