url_path,views_total,views_unique
/OpenMalaria-Org/openmalaria,114,33
/OpenMalaria-Org/openmalaria/wiki,41,33
/OpenMalaria-Org/openmalaria/wiki/MonitoringOptions,11,8
/OpenMalaria-Org/openmalaria/wiki/UserGuide,11,5
/OpenMalaria-Org/openmalaria/wiki/ScenarioDesign,7,4
/OpenMalaria-Org/openmalaria/wiki/ScenarioTransmission,7,2
/OpenMalaria-Org/openmalaria/wiki/ScenarioHealthSystem,5,5
/OpenMalaria-Org/openmalaria/wiki/MonitoringOutput,5,4
/OpenMalaria-Org/openmalaria/blob/cdd684d7381f1185b252dcba6d8d00431457dad4/model/Transmission/TransmissionModel.h,5,2
/OpenMalaria-Org/openmalaria/wiki/DrugResistanceGenotypes,5,2
