time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-09-10 00:00:00+00:00,52,8,53,13
2026-09-11 00:00:00+00:00,20,8,75,19
2026-09-12 00:00:00+00:00,4,4,5,3
2026-09-13 00:00:00+00:00,2,1,20,12
2026-09-14 00:00:00+00:00,24,21,32,12
2026-09-15 00:00:00+00:00,34,24,34,10
2026-09-16 00:00:00+00:00,21,15,21,8
2026-09-17 00:00:00+00:00,25,17,58,10
2026-09-18 00:00:00+00:00,28,24,51,16
2026-09-19 00:00:00+00:00,7,5,7,5
2026-09-20 00:00:00+00:00,3,3,4,3
2026-09-21 00:00:00+00:00,44,41,33,13
2026-09-22 00:00:00+00:00,11,10,34,15
2026-09-23 00:00:00+00:00,201,9,41,11
