url_path,views_total,views_unique
/OpenMalaria-Org/openmalaria,185,43
/OpenMalaria-Org/openmalaria/wiki,81,34
/OpenMalaria-Org/openmalaria/wiki/UserGuide,21,13
/OpenMalaria-Org/openmalaria/wiki/References,15,6
/OpenMalaria-Org/openmalaria/pulls,14,4
/OpenMalaria-Org/openmalaria/wiki/Monitoring,10,5
/OpenMalaria-Org/openmalaria/wiki/Elimination,9,3
/OpenMalaria-Org/openmalaria/wiki/MonitoringOptions,8,7
/OpenMalaria-Org/openmalaria/wiki/ModelInterventions,8,4
/OpenMalaria-Org/openmalaria/pull/452,8,3
