url_path,views_total,views_unique
/SwissTPH/openmalaria,220,56
/SwissTPH/openmalaria/wiki,89,42
/SwissTPH/openmalaria/wiki/ModelInterventions,36,13
/SwissTPH/openmalaria/wiki/UserGuide,30,18
/SwissTPH/openmalaria/releases/tag/schema-44.0,25,7
/SwissTPH/openmalaria/wiki/ScenarioHealthSystem,24,5
/SwissTPH/openmalaria/blob/main/util/example/example_scenario.xml,18,7
/SwissTPH/openmalaria/wiki/Monitoring,15,8
/SwissTPH/openmalaria/wiki/MonitoringOptions,14,9
/SwissTPH/openmalaria/wiki/ScenarioTransmission,14,7
