url_path,views_total,views_unique
/OpenMalaria-Org/openmalaria/wiki,87,46
/OpenMalaria-Org/openmalaria,68,42
/OpenMalaria-Org/openmalaria/wiki/ModelInterventions,26,10
/OpenMalaria-Org/openmalaria/wiki/MonitoringOptions,24,10
/OpenMalaria-Org/openmalaria/wiki/MonitoringOutput,15,7
/OpenMalaria-Org/openmalaria/wiki/ScenarioTransmission,12,6
/OpenMalaria-Org/openmalaria/wiki/DrugResistanceGenotypes,12,4
/OpenMalaria-Org/openmalaria/wiki/ScenarioHealthSystem,10,6
/OpenMalaria-Org/openmalaria/wiki/ModelTransmission,9,4
/OpenMalaria-Org/openmalaria/wiki/UserGuide,9,4
