url_path,views_total,views_unique
/OpenMalaria-Org/openmalaria/wiki,92,42
/OpenMalaria-Org/openmalaria,55,27
/OpenMalaria-Org/openmalaria/wiki/UserGuide,13,10
/OpenMalaria-Org/openmalaria/wiki/ScenarioHealthSystem,12,12
/OpenMalaria-Org/openmalaria/wiki/Monitoring,9,6
/OpenMalaria-Org/openmalaria/wiki/References,9,5
/OpenMalaria-Org/openmalaria/wiki/DeveloperGuide,8,8
/OpenMalaria-Org/openmalaria/wiki/MonitoringOptions,8,6
/OpenMalaria-Org/openmalaria/wiki/ModelWithinHost,8,4
/OpenMalaria-Org/openmalaria/wiki/SchemaUpdateGuide,7,5
