referrer,views_total,views_unique
Google,59,13
github.com,12,6
openmalaria.org,9,2
code.google.com,9,1
malariajournal.biomedcentral.com,4,1
github-wiki-see.page,2,1
search.brave.com,2,1
so.com,1,1
ndmconsortium.com,1,1
ammnet.org,1,1
