referrer,views_total,views_unique
Google,160,31
github.com,40,9
usc-word-edit.officeapps.live.com,15,1
statics.teams.cdn.office.net,14,5
scanmail.trustwave.com,13,7
auc-word-edit.officeapps.live.com,9,2
github-wiki-see.page,6,2
jirasd.telethonkids.org.au,6,1
medrxiv.org,6,1
Bing,4,3
