referrer,views_total,views_unique
Google,81,18
github.com,47,5
om.scicore.unibas.ch,36,10
Bing,13,5
code.google.com,6,1
swisstph.github.io,4,2
nature.com,2,2
github-com.translate.goog,2,1
DuckDuckGo,2,1
malaria-commodities.shinyapps.io,1,1
