time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-13 00:00:00+00:00,11,10,18,11
2026-06-14 00:00:00+00:00,5,5,18,9
2026-06-15 00:00:00+00:00,5,5,31,14
2026-06-16 00:00:00+00:00,1,1,15,8
2026-06-17 00:00:00+00:00,14,7,16,10
2026-06-18 00:00:00+00:00,8,5,46,14
2026-06-19 00:00:00+00:00,19,7,24,10
2026-06-20 00:00:00+00:00,20,9,15,4
2026-06-21 00:00:00+00:00,9,5,8,6
2026-06-22 00:00:00+00:00,30,9,57,12
2026-06-23 00:00:00+00:00,122,9,30,11
2026-06-24 00:00:00+00:00,4251,24,57,21
2026-06-25 00:00:00+00:00,8,8,45,16
2026-06-26 00:00:00+00:00,14,10,27,14
