referrer,views_total,views_unique
Google,86,11
github.com,34,5
Bing,13,3
paperswithcode.com,10,1
ammnet.org,4,3
code.google.com,2,2
researchgate.net,1,1
ibm.com,1,1
malariajournal.biomedcentral.com,1,1
