url_path,views_total,views_unique
/OpenMalaria-Org/openmalaria,209,52
/OpenMalaria-Org/openmalaria/wiki,91,48
/OpenMalaria-Org/openmalaria/wiki/UserGuide,38,23
/OpenMalaria-Org/openmalaria/wiki/ModelInterventions,36,12
/OpenMalaria-Org/openmalaria/pulls,30,5
/OpenMalaria-Org/openmalaria/wiki/MonitoringOptions,22,14
/OpenMalaria-Org/openmalaria/wiki/ModelDemography,19,8
/OpenMalaria-Org/openmalaria/wiki/References,18,6
/OpenMalaria-Org/openmalaria/wiki/ModelWithinHost,16,4
/OpenMalaria-Org/openmalaria/wiki/Monitoring,14,13
