url_path,views_total,views_unique
/OpenMalaria-Org/openmalaria/wiki,72,43
/OpenMalaria-Org/openmalaria,62,39
/OpenMalaria-Org/openmalaria/wiki/MonitoringOptions,20,10
/OpenMalaria-Org/openmalaria/wiki/UserGuide,19,13
/OpenMalaria-Org/openmalaria/wiki/ModelInterventions,18,8
/OpenMalaria-Org/openmalaria/wiki/ModelDemography,11,8
/OpenMalaria-Org/openmalaria/wiki/Monitoring,11,6
/OpenMalaria-Org/openmalaria/wiki/References,10,6
/OpenMalaria-Org/openmalaria/pull/456,9,1
/OpenMalaria-Org/openmalaria/wiki/MonitoringOutput,8,5
