time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-24 00:00:00+00:00,2,2,21,8
2026-01-25 00:00:00+00:00,5,4,24,4
2026-01-26 00:00:00+00:00,8,3,28,7
2026-01-27 00:00:00+00:00,30,9,24,10
2026-01-28 00:00:00+00:00,10,4,62,19
2026-01-29 00:00:00+00:00,24,13,66,13
2026-01-30 00:00:00+00:00,7,6,45,8
2026-01-31 00:00:00+00:00,16,1,56,12
2026-02-01 00:00:00+00:00,3,3,30,9
2026-02-02 00:00:00+00:00,7,5,71,10
2026-02-03 00:00:00+00:00,25,10,169,32
2026-02-04 00:00:00+00:00,19,8,85,18
2026-02-05 00:00:00+00:00,74,20,102,47
2026-02-06 00:00:00+00:00,17,6,99,22
