time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-17 00:00:00+00:00,8,1,55,13
2026-02-18 00:00:00+00:00,6,4,40,13
2026-02-19 00:00:00+00:00,9,4,62,17
2026-02-20 00:00:00+00:00,4,4,42,12
2026-02-21 00:00:00+00:00,5,5,24,8
2026-02-22 00:00:00+00:00,13,13,23,6
2026-02-23 00:00:00+00:00,14,11,36,14
2026-02-24 00:00:00+00:00,3,3,39,15
2026-02-25 00:00:00+00:00,23,10,41,17
2026-02-26 00:00:00+00:00,4,4,51,20
2026-02-27 00:00:00+00:00,28,7,114,15
2026-02-28 00:00:00+00:00,3,3,12,9
2026-03-01 00:00:00+00:00,3,2,14,5
2026-03-02 00:00:00+00:00,15,4,17,11
