referrer,views_total,views_unique
github.com,22,10
Google,19,19
statics.teams.cdn.office.net,11,3
ndmconsortium.com,5,2
ntp.msn.com,3,2
Bing,1,1
adish.one,1,1
chatgpt.com,1,1
om.scicore.unibas.ch,1,1
ukc-word-edit.officeapps.live.com,1,1
