time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-03 00:00:00+00:00,18,11,17,9
2026-06-04 00:00:00+00:00,18,8,38,15
2026-06-05 00:00:00+00:00,74,34,39,10
2026-06-06 00:00:00+00:00,10,10,12,4
2026-06-07 00:00:00+00:00,9,8,14,4
2026-06-08 00:00:00+00:00,42,26,68,14
2026-06-09 00:00:00+00:00,12,7,49,21
2026-06-10 00:00:00+00:00,845,4,59,18
2026-06-11 00:00:00+00:00,15,9,34,13
2026-06-12 00:00:00+00:00,35,22,22,13
2026-06-13 00:00:00+00:00,11,10,18,11
2026-06-14 00:00:00+00:00,5,5,18,9
2026-06-15 00:00:00+00:00,5,5,31,14
2026-06-16 00:00:00+00:00,1,1,15,8
