time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-23 00:00:00+00:00,10,6,8,3
2026-05-24 00:00:00+00:00,7,6,4,2
2026-05-25 00:00:00+00:00,9,6,41,10
2026-05-26 00:00:00+00:00,8,6,28,17
2026-05-27 00:00:00+00:00,29,13,61,16
2026-05-28 00:00:00+00:00,13,7,37,12
2026-05-29 00:00:00+00:00,19,17,38,17
2026-05-30 00:00:00+00:00,13,11,9,5
2026-05-31 00:00:00+00:00,8,6,21,7
2026-06-01 00:00:00+00:00,7,7,21,8
2026-06-02 00:00:00+00:00,26,20,29,16
2026-06-03 00:00:00+00:00,18,11,17,9
2026-06-04 00:00:00+00:00,18,8,38,15
2026-06-05 00:00:00+00:00,74,34,39,10
