time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-10 00:00:00+00:00,12,9,95,16
2026-04-11 00:00:00+00:00,3,3,72,35
2026-04-12 00:00:00+00:00,5,4,30,6
2026-04-13 00:00:00+00:00,0,0,64,14
2026-04-14 00:00:00+00:00,4,3,30,12
2026-04-15 00:00:00+00:00,12,9,47,14
2026-04-16 00:00:00+00:00,11,10,55,19
2026-04-17 00:00:00+00:00,5,4,36,18
2026-04-18 00:00:00+00:00,4,3,47,17
2026-04-19 00:00:00+00:00,1,1,16,6
2026-04-20 00:00:00+00:00,1,1,48,11
2026-04-21 00:00:00+00:00,12,7,48,18
2026-04-22 00:00:00+00:00,2,2,26,12
2026-04-23 00:00:00+00:00,31,11,58,13
