referrer,views_total,views_unique
Google,123,34
github.com,57,12
Bing,8,2
DuckDuckGo,8,1
om.scicore.unibas.ch,6,4
swisstph.github.io,4,1
chatgpt.com,3,2
statics.teams.cdn.office.net,2,1
nature.com,1,1
qwant.com,1,1
