time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-09-20 00:00:00+00:00,3,3,39,9
2025-09-21 00:00:00+00:00,3,3,10,6
2025-09-22 00:00:00+00:00,14,13,81,14
2025-09-23 00:00:00+00:00,13,6,38,14
2025-09-24 00:00:00+00:00,3,3,30,10
2025-09-25 00:00:00+00:00,4,4,58,16
2025-09-26 00:00:00+00:00,10,8,77,18
2025-09-27 00:00:00+00:00,8,8,24,10
2025-09-28 00:00:00+00:00,6,5,8,5
2025-09-29 00:00:00+00:00,11,10,30,10
2025-09-30 00:00:00+00:00,1,1,53,12
2025-10-01 00:00:00+00:00,9,9,23,9
2025-10-02 00:00:00+00:00,10,6,65,13
2025-10-03 00:00:00+00:00,1,1,10,7
