referrer,views_total,views_unique
Google,55,26
github.com,46,19
thekids.org.au,18,7
om.scicore.unibas.ch,4,1
nature.com,3,1
Bing,2,1
claude.ai,2,1
scanmail.trustwave.com,2,1
DuckDuckGo,1,1
edwenger.github.io,1,1
