time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-09-28 00:00:00+00:00,6.0,5.0,8,5
2025-09-29 00:00:00+00:00,11.0,10.0,30,10
2025-09-30 00:00:00+00:00,1.0,1.0,53,12
2025-10-01 00:00:00+00:00,9.0,9.0,23,9
2025-10-02 00:00:00+00:00,10.0,6.0,65,13
2025-10-03 00:00:00+00:00,1.0,1.0,11,7
2025-10-04 00:00:00+00:00,,,11,5
2025-10-05 00:00:00+00:00,2.0,2.0,14,6
2025-10-06 00:00:00+00:00,19.0,5.0,82,17
2025-10-07 00:00:00+00:00,,,22,8
2025-10-08 00:00:00+00:00,2.0,2.0,37,12
2025-10-09 00:00:00+00:00,12.0,9.0,31,12
2025-10-10 00:00:00+00:00,6.0,5.0,32,11
2025-10-11 00:00:00+00:00,9.0,8.0,10,6
