url_path,views_total,views_unique
/OpenMalaria-Org/openmalaria,142,36
/OpenMalaria-Org/openmalaria/wiki,59,38
/OpenMalaria-Org/openmalaria/wiki/MonitoringOptions,21,12
/OpenMalaria-Org/openmalaria/wiki/UserGuide,18,12
/OpenMalaria-Org/openmalaria/wiki/ModelInterventions,14,7
/OpenMalaria-Org/openmalaria/pulls,10,3
/OpenMalaria-Org/openmalaria/wiki/Monitoring,9,5
/OpenMalaria-Org/openmalaria/wiki/ScenarioDesign,6,3
/OpenMalaria-Org/openmalaria/pull/448/changes,5,2
/OpenMalaria-Org/openmalaria/wiki/DrugResistanceGenotypes,5,2
