time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-08-13 00:00:00+00:00,,,34,13
2025-08-14 00:00:00+00:00,1.0,1.0,60,11
2025-08-15 00:00:00+00:00,12.0,6.0,84,22
2025-08-16 00:00:00+00:00,4.0,3.0,11,4
2025-08-17 00:00:00+00:00,1.0,1.0,13,5
2025-08-18 00:00:00+00:00,22.0,8.0,98,15
2025-08-19 00:00:00+00:00,16.0,5.0,67,9
2025-08-20 00:00:00+00:00,2.0,2.0,11,5
2025-08-21 00:00:00+00:00,1.0,1.0,23,7
2025-08-22 00:00:00+00:00,2.0,1.0,39,11
2025-08-23 00:00:00+00:00,1.0,1.0,8,4
2025-08-24 00:00:00+00:00,3.0,3.0,27,11
2025-08-25 00:00:00+00:00,2.0,2.0,55,19
2025-08-26 00:00:00+00:00,40.0,8.0,31,12
