time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-01-29 00:00:00+00:00,14.0,3.0,55,8
2024-01-30 00:00:00+00:00,1.0,1.0,52,11
2024-01-31 00:00:00+00:00,3.0,3.0,53,8
2024-02-01 00:00:00+00:00,,,46,9
2024-02-02 00:00:00+00:00,1.0,1.0,24,8
2024-02-03 00:00:00+00:00,1.0,1.0,11,5
2024-02-04 00:00:00+00:00,1.0,1.0,5,3
2024-02-05 00:00:00+00:00,2.0,2.0,45,10
2024-02-06 00:00:00+00:00,2.0,2.0,43,8
2024-02-07 00:00:00+00:00,,,50,18
2024-02-08 00:00:00+00:00,1.0,1.0,31,9
2024-02-09 00:00:00+00:00,,,33,13
2024-02-10 00:00:00+00:00,1.0,1.0,16,9
2024-02-11 00:00:00+00:00,4.0,3.0,1,1
