url_path,views_total,views_unique
/OpenMalaria-Org/openmalaria/wiki,67,39
/OpenMalaria-Org/openmalaria,60,38
/OpenMalaria-Org/openmalaria/wiki/UserGuide,17,10
/OpenMalaria-Org/openmalaria/wiki/ModelInterventions,13,6
/OpenMalaria-Org/openmalaria/wiki/MonitoringOptions,10,7
/OpenMalaria-Org/openmalaria/wiki/ScenarioHealthSystem,9,8
/OpenMalaria-Org/openmalaria/pull/458,9,4
/OpenMalaria-Org/openmalaria/pulls,9,4
/OpenMalaria-Org/openmalaria/wiki/ModelWithinHost,9,3
/OpenMalaria-Org/openmalaria/wiki/DrugResistanceGenotypes,9,1
