referrer,views_total,views_unique
Google,95,24
github.com,37,7
chatgpt.com,9,6
om.scicore.unibas.ch,7,4
Bing,4,2
thelancet.com,2,2
statics.teams.cdn.office.net,2,2
medrxiv.org,1,1
