url_path,views_total,views_unique
/SwissTPH/openmalaria,125,36
/SwissTPH/openmalaria/wiki,44,26
/SwissTPH/openmalaria/wiki/UserGuide,18,10
/SwissTPH/openmalaria/releases,13,6
/SwissTPH/openmalaria/commits/main,11,1
/SwissTPH/openmalaria/blob/79b213876d6711ef5c701c3adae0f063c8407ac8/util/example/example_scenario.xml,6,3
/SwissTPH/openmalaria/tree/main,6,3
/SwissTPH/openmalaria/wiki/Monitoring,6,1
/SwissTPH/openmalaria/releases/tag/schema-47.0,5,4
/SwissTPH/openmalaria/blob/main/util/example/example_scenario.xml,5,3
