url_path,views_total,views_unique
/OpenMalaria-Org/openmalaria/wiki,92,55
/OpenMalaria-Org/openmalaria,57,39
/OpenMalaria-Org/openmalaria/wiki/UserGuide,25,18
/OpenMalaria-Org/openmalaria/wiki/ModelInterventions,22,8
/OpenMalaria-Org/openmalaria/wiki/ScenarioTransmission,18,10
/OpenMalaria-Org/openmalaria/wiki/MonitoringOptions,18,8
/OpenMalaria-Org/openmalaria/wiki/Monitoring,16,5
/OpenMalaria-Org/openmalaria/wiki/References,15,6
/OpenMalaria-Org/openmalaria/wiki/MonitoringOutput,10,4
/OpenMalaria-Org/openmalaria/wiki/SchemaUpdateGuide,9,9
