referrer,views_total,views_unique
Google,92,18
github.com,14,8
Bing,8,2
om.scicore.unibas.ch,4,1
edgeservices.bing.com,2,1
numalariamodeling.github.io,1,1
swisstph.github.io,1,1
thelancet.com,1,1
