url_path,views_total,views_unique
/OpenMalaria-Org/openmalaria/wiki,55,37
/OpenMalaria-Org/openmalaria,50,30
/OpenMalaria-Org/openmalaria/blob/main/util/example/example_scenario.xml,17,5
/OpenMalaria-Org/openmalaria/blob/develop/model/PkPd/Drug/LSTMDrugConversion.cpp,13,13
/OpenMalaria-Org/openmalaria/pulls,12,1
/OpenMalaria-Org/openmalaria/issues,11,2
/OpenMalaria-Org/openmalaria/wiki/ScenarioHealthSystem,10,6
/OpenMalaria-Org/openmalaria/pull/458,8,2
/OpenMalaria-Org/openmalaria/pull/453,8,1
/OpenMalaria-Org/openmalaria/wiki/UserGuide,7,7
