referrer,views_total,views_unique
Google,104,23
github.com,56,6
Bing,19,3
swisstph.github.io,16,8
om.scicore.unibas.ch,12,3
chatgpt.com,10,4
cn.bing.com,3,1
ndmconsortium.com,2,2
elifesciences.org,2,1
nature.com,1,1
