url_path,views_total,views_unique
/OpenMalaria-Org/openmalaria,200,49
/OpenMalaria-Org/openmalaria/wiki,96,51
/OpenMalaria-Org/openmalaria/wiki/UserGuide,38,21
/OpenMalaria-Org/openmalaria/wiki/MonitoringOptions,22,12
/OpenMalaria-Org/openmalaria/wiki/ModelInterventions,20,10
/OpenMalaria-Org/openmalaria/wiki/Monitoring,20,10
/OpenMalaria-Org/openmalaria/wiki/MonitoringOutput,13,7
/OpenMalaria-Org/openmalaria/wiki/DrugResistanceGenotypes,11,1
/OpenMalaria-Org/openmalaria/releases,10,8
/OpenMalaria-Org/openmalaria/wiki/References,9,3
