time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-04-02 00:00:00+00:00,,,16,9
2024-04-03 00:00:00+00:00,1.0,1.0,11,3
2024-04-04 00:00:00+00:00,1.0,1.0,37,10
2024-04-05 00:00:00+00:00,,,38,6
2024-04-06 00:00:00+00:00,2.0,2.0,12,3
2024-04-07 00:00:00+00:00,1.0,1.0,152,4
2024-04-08 00:00:00+00:00,,,82,15
2024-04-09 00:00:00+00:00,3.0,3.0,124,13
2024-04-10 00:00:00+00:00,1.0,1.0,79,15
2024-04-11 00:00:00+00:00,4.0,3.0,46,12
2024-04-12 00:00:00+00:00,1.0,1.0,42,9
2024-04-13 00:00:00+00:00,,,40,8
2024-04-14 00:00:00+00:00,1.0,1.0,13,4
2024-04-15 00:00:00+00:00,1.0,1.0,41,14
