referrer,views_total,views_unique
Google,95,23
github.com,45,10
om.scicore.unibas.ch,14,4
Bing,7,3
DuckDuckGo,4,2
com.google.android.gm,4,1
swisstph.github.io,3,2
ahadi-analytics.github.io,3,1
github-wiki-see.page,1,1
