url_path,views_total,views_unique
/OpenMalaria-Org/openmalaria,227,61
/OpenMalaria-Org/openmalaria/wiki,76,40
/OpenMalaria-Org/openmalaria/wiki/UserGuide,18,10
/OpenMalaria-Org/openmalaria/wiki/SchemaUpdateGuide,12,3
/OpenMalaria-Org/openmalaria/wiki/ScenarioTransmission,12,2
/OpenMalaria-Org/openmalaria/wiki/References,11,7
/OpenMalaria-Org/openmalaria/wiki/XmlEntoVector,11,3
/OpenMalaria-Org/openmalaria/wiki/Monitoring,10,6
/OpenMalaria-Org/openmalaria/wiki/ModelInterventions,9,7
/OpenMalaria-Org/openmalaria/pulls,9,5
