url_path,views_total,views_unique
/OpenMalaria-Org/openmalaria,226,56
/OpenMalaria-Org/openmalaria/wiki,103,49
/OpenMalaria-Org/openmalaria/wiki/UserGuide,43,26
/OpenMalaria-Org/openmalaria/wiki/ModelInterventions,35,11
/SwissTPH/openmalaria,29,7
/OpenMalaria-Org/openmalaria/pulls,24,5
/OpenMalaria-Org/openmalaria/wiki/MonitoringOptions,21,13
/OpenMalaria-Org/openmalaria/wiki/ModelDemography,18,7
/OpenMalaria-Org/openmalaria/wiki/ModelWithinHost,16,4
/OpenMalaria-Org/openmalaria/wiki/Monitoring,15,14
