time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-05-13 00:00:00+00:00,10,4,87,10
2025-05-14 00:00:00+00:00,42,10,79,12
2025-05-15 00:00:00+00:00,17,8,84,15
2025-05-16 00:00:00+00:00,60,15,80,15
2025-05-17 00:00:00+00:00,5,4,16,4
2025-05-18 00:00:00+00:00,4,2,45,10
2025-05-19 00:00:00+00:00,8,3,59,14
2025-05-20 00:00:00+00:00,25,6,75,14
2025-05-21 00:00:00+00:00,22,9,45,11
2025-05-22 00:00:00+00:00,6,3,93,18
2025-05-23 00:00:00+00:00,2,2,87,13
2025-05-24 00:00:00+00:00,6,5,38,9
2025-05-25 00:00:00+00:00,3,2,24,10
2025-05-26 00:00:00+00:00,5,4,99,19
