referrer,views_total,views_unique
Google,69,15
github.com,22,6
researchgate.net,4,3
Bing,4,2
github-wiki-see.page,4,1
swisstph.github.io,4,1
paperswithcode.com,2,1
hpc.dmi.unibas.ch,2,1
cdn.who.int,2,1
boincitaly.org,1,1
